Last Date,Location,Total Hours,Total IVT,Max IVT,Total Precip,Avg. Direction,Return Period,1h ARI,3h ARI,6h ARI,12h ARI,1d ARI,Impact Level,Impact dates,Impact,Impact Information,Location,Impact Source,Notes,Wick Precip,Wick Return
20180814_00Z,PAGY,24,1096.63,583.15,,235.365,,1,NA,NA,1,1,1,08/14/2018,Moderate flood stage,"Taiya river flooded, chilkoot trail closed",PAGY,AHPS,,,
20180809_12Z,JNNA2,24,999.49,565.88,,190.955,,,,,,,3,08/09/2018,Moderate flood stage; flooding,"Flooding on taku and mendenhall: Mendenhall at 10th highest crest, part of GDL event of suicide at same time; flooding of taku 41.3 ft, flooding into yards, mendenhall lake rose above moderate flood stage of ten ft, moderate flooding around the lake and back loop road, campground evacuated, skaters cabin road flooded, view drive flooded",JNNA2,"NWS, HYDRO, AHPS",followed another ar of 36 hours,,
20180809_12Z,PAGY,24,881.25,511.59,0.52,194.38,,1,1,1,1,1,2,08/09/2018,Moderate flood stage,TAiya river at its 7th highest crest,PAGY,AHPS,consecutive ar's ,,
20180807_12Z,PAGY,36,1136.13,403.65,0.02,261.23,,1,1,1,NA,1,2,08/08/2018,Moderate flood stage,"Taiya river flooded, chilkoot trail closed, suspesion of water activities",PAGY,NWS,consecutive ar's ,,
20180115_12Z,PAGY,24,726.12,457.04,0.34,171.645,,1,1,1,1,1,0,01/15/2018,Action stage,Skagway at its highest crest,PAGY,AHPS,,,
,PAYA,,,,,,,1,NA,1,1,1,0,12/09/2017,"Action stage, flooding","multiple rises on srya2 with minor flooding, water went over road to Cannon Beach (12/7) (Tawah Creek0. Cops said that water went over the road to the Situk River near the airport (stream to Tawah creek). 12th highest rise on the Situk",PAYA,ARDAT,THis is not in the AR database,,
20171028_00Z,PAJN,48,2073.61,737.85,3.44,240.4175,,1,1,1,2,2,3,10/27/2017,Moderate flood stage,"Jordan creek at 2nd highest crest; Montana creek at 12th highest crest, gnificant flooding of jordan creek area, multiple homes and businesses flooded, roads in area were flooded but still passable,, some lots flooded by feet, 100k in flood damage, debris flow along gold creek flume causing damage about 80 k, 3-5 inches fell from AR, Jordan creek crested at 11 ft, inundation on old glacier highway, Calhoun street closed due to hillside erosion near cope park, water in crawl spaces along cascade street",PAJN,"APRFC, NWS",Large AR event probably,,
20171028_00Z     ,JNNA2,48,2098.12,706.65,,240.115,,,,,,,3,10/27/2017,Moderate flood stage; flooding; mudslides,"Jordan creek at 2nd highest crest; moderate rainfall, significant flooding of jordan creek area, multiple homes and businesses flooded, roads in area were flooded but still passable,, some lots flooded by feet, 100k in flood damage, debris flow along gold creek flume causing damage about 80 k, 3-5 inches fell from AR, Jordan creek crested at 11 ft, inundation on old glacier highway, Calhoun street closed due to hillside erosion near cope park, water in crawl spaces along cascade street; Montana creek at 12th highest crest",JNNA2,"APRFC, NWS, AHPS",the 27th had the 22nd highest ivt; followed by another ar,,
20171028_00Z     ,,48,1833.58,582.23,,248.13,,,,,,,2,10/27/2017,Moderate flood stage,No recorded impacts in petersburg,,,Widespread strong ar event; no recorded impacts in petersburg,,
20171028_00Z     ,PAGS,48,2096.96,809.65,,240.5375,,,,,,,2,10/27/2017,Moderate Flood stage,Salmon river at 4th highest crest,PAGS,AHPS,8th highest ivt on the 7th,NA,
20171028_00Z,PASI,48,2112.75,612.68,4.13,240.5225,,1,1,1,1,1,0,10/27/2017,Action stage,Indian river at 15th highest crest,PASI,AHPS,,,
,HOOA2,,,,,,,,,,,,0,10/27/2017,Nothing recorded in Hoonah,Nothing recorded in Hoonah but large ar event,HOOA2,,,,
20170928_00Z,PASI,48,2224.14,640.34,3.49,195.0575,,2,10,5,2,1,0,09/27/2017,Action stage,Indian river at 14th highest crest,PASI,AHPS,27th was the 29th highest precip,,
20170907_00Z,AHNA2,24,1093.77,649.3,1.48,172.89,,,,,,,2,09/09/2017,Moderate flood stage; action flood stage,Taiya at its 10th highest crest; Chilkat at its thrid highest crest (action); flooding of chilkoot trail,AHNA2,"AHPS, HYDRO, NWS",various ar events in a row,,
20170907_00Z,PAGY,24,1093.77,649.3,0.96,172.89,,1,1,1,1,1,2,09/08/2017,Moderate flood stage; action flood stage,Taiya at its 10th highest crest; Chilkat at its thrid highest crest (action); flooding of chilkoot trail,PAGY,"AHPS, HYDRO, NWS",7th was the 13th highest ivt; the 4th and 5th were 23rd and 24th highest ivt; the 5th was an even bigger AR with higher precip,,
20170907_00Z,HCSA2,24,1014.75,548.3,0.941,173.155,,,,,,,2,09/08/2017,Moderate flood stage; action flood stage,Taiya at its 10th highest crest; Chilkat at its thrid highest crest (action); flooding of chilkoot trail,HCSA2,"AHPS, HYDRO, NWS",5th had the 22nd highst ivt; this event followed another ar event on 4-5th with more precip,NA,
20170907_00Z,PAHN,24,1057.77,566.21,1.41,171.595,,1,1,1,1,NA,0,09/08/2017,Action stage,Chilkat at 3rd highest crest,PAHN,AHPS,following another ar event on the 5th with high precip and 25th highest ivt on 4th and 28th highest on the 5th,,
20170905_00Z,PASI,24,1161.53,597.45,2.94,200.17,,2,10,10,2,1,2,09/04/2017,mudslide,"Labor day slide:Police Officer Gary Cranford walks away from the site of a landslide in the 4300 block of Halibut Point Road this afternoon. The slide pushed trees and mud into about 180 feet of roadway, and caused power lines to short out, knocking out power from Halibut Point Recreation Area to the end of the road. There were no reports of injuries or property damage caused by the slide. Cruise ship passengers at the Old Sitka Dock were being ferried from town by Allen Marine boats. Large rises in small streams.",PASI,ARDAT,Followed by two more ar events on 7th and 9th,,
20170905_00Z,PAGS,24,1232.48,656.99,1.92,199.97,,,,,,,0,09/04/2017,Action stage,Salmon River at 9th highest crest,PAGS,AHPS,two ar's follow this one on 7th and 8th,1.34,1
,HOOA2,,,,,,,,,,,,0,09/04/2017,"Nothing recorded in Hoonah, only GUstavus","Nothing recorded in Hoonah, only Gustavus",HOOA2,,Gustavus had impact,,
,PAJN,,,,,,,1,1,1,1,1,0,09/01/2017,Action stage,Mendenhall at 33rd highest crest,PAJN,AHPS,no recorded AR event in database,,
20170827_12Z,PAKT,60,1585.34,365.51,2.6,209.904,<1,1,1,1,1,1,0,08/28/2017,Action flooding,Lower Ketchikan lake at the 5th most overflow,PAKT,AHPS,,,
20170822_12Z,PAKT,48,2147.98,810.8,7.12,211.92,1-2,2,5,10,10,5,2,08/22/2017,Flooding,"Minor flooding of ward lake ,river. Water into picnic and campgrounds and over trails. Minor flooding along tongass highway near shoreline drive and near cemetary ride. One week closure at ward lake campground for repairs, flooded basements",PAKT,"ARDAT, APRFC",The 22nd had the 9th highest precip amounts; 8/20/2017-08/22/2017,,
20170822_12Z,PAKW,48,1936.01,550.29,2.85,206.745,<1,1,1,1,1,1,1,08/22/2017,Flooding (?),"FLooding in Ketchikan, no recorded events in POW, but big AR event",PAKW,"ARDAT, HYDRO, APRFC",No recorded events in POW (does not necessarily mean there were none) but impacts in Ketchikan,,
,JNNA2,,,,,,,,,,,,2,10/09/2016,Mudslide,"Snettisham Power line mudslide, almost took out powerlines, significant precipitation in 24 hours (3-4 inches)",JNNA2,MD,,,
20160916_00Z,PAJN,36,971.96,369.72,0.54,198.6066667,<1,1,1,1,1,1,2,09/15/2016,Moderate flood stage,Mendenhall at 25th highest crest,PAJN,AHPS,,,
20160913_12Z,PAGY,24,726.26,407.06,0.59,232.99,<1,1,1,1,1,1,1,09/15/2016,Flood stage,Taiya at its 40th highest crest,PAGY,AHPS,,,
20160916_00Z,PASI,36,1120.83,452.91,1.74,208.3033333,<1,2,2,1,2,1,0,09/15/2016,Action stage,Indian river at 17th highest crest,PASI,AHPS,This are event followed two previous ones,,
20160913_12Z,HOOA2,24,875.82,463.88,0.6,239.045,<1,,,,,,0,09/14/2016,Nothing recorded in Hoonah,Nothing recorded in Hoonah,HOOA2,,"AR in Hoonah area and all along northern panhandle as well, these are two consecutive ar events",0.6 on the 13th,1
20160913_12Z,PAGS,24,871.97,444.06,1.62,238.2,<1,,,,,,1,09/13/2016,Flood stage,Salmon River at 7th highest crest,PAGS,AHPS,ar event following a previous event,3.3 on the 13th,10
20160910_00Z,HOOA2,24,714.32,361.85,3.6,202.385,5-10,,,,,,0,09/13/2016,Nothing recorded in Hoonah,Nothing recorded in Hoonah,HOOA2,,"AR in Hoonah area and all along northern panhandle as well, these are two consecutive ar events",1.53 on the 9th,1
20160910_00Z,JNNA2,24,690.34,379.16,1.25,201.605,<1,,,,,,1,09/11/2016,Flood stage,Mendenhall at 19th highest crest,JNNA2,AHPS,,1.25 on the 9th,1
20160910_00Z,PAJN,24,692.14,363.99,2.89,199.945,5-10,1,2,2,2,2,2,09/09/2016,Flood stage,Jordan creek at 4th highest cres; Montana creek at 29th highest crest at action stage; Mendenhall at  flood stage at 19th highest crest,PAJN,AHPS,,,
20160827_00Z,PAGY,48,1297.55,388.39,0.22,288.6175,<1,NA,NA,NA,NA,NA,1,08/28/2016,Flood stage,Taiya river at its 44th highest crest,PAGY,AHPS,Event occured right after another AR event,,
20160824_12Z,PAGY,24,560.15,306.4,0.04,259.81,<1,1,1,1,1,1,1,08/26/2016,Flood stage,Taiya river at its 45th highest crest,PAGY,AHPS,,,
20160815_12Z,JNNA2,24,660.26,372.75,,192.155,,,,,,,1,08/16/2016,Flood stage,Mendenhall at 27th highest crest,JNNA2,AHPS,two consecutive ar events,1.34A (3) on the 15th,1
,PAGY,,,,,,,1,1,1,1,1,2,08/15/2016,Moderate flood stage,Taiya river at its 14th highest crest; significant flooding of Chilkoot trail,PAGY,AHPS,Snowmelt occured as well,,
20160812_12Z,PAGY,24,524.39,265.14,0.02,221.825,,1,1,1,1,1,2,08/15/2016,Moderate flood stage,Taiya river at its 14th highest crest; significant flooding of Chilkoot trail,PAGY,AHPS,Snowmelt occured as well,,
,PAJN,,,,,,,1,1,1,1,1,1,08/15/2016,Flood stage,Mendenhall at its 27th highest crest,PAJN,AHPS,"Not in database, may be caused by snowmelt",,
20160814_00Z,JNNA2,24,596.47,328.59,,178.215,,,,,,,1,08/15/2016,Flood stage,Mendenhall at 27th highest crest,JNNA2,AHPS,two consecutive ar events,,
20160913_12Z,PAGY,24,726.26,407.06,0.59,232.99,<1,1,1,1,1,1,2,08/14/2016,Moderate flood stage,Taiya river at its 29th highest crest,PAGY,AHPS,,,
20160728_12Z,PAGY,24,574.65,318.58,0.61,187.445,<1,1,1,1,1,1,2,07/28/2016,Moderate flood; damage,Taiya river rose to 17th highest crest; significant flooding of Chilkoot trail; 4k of damage,PAGY,"AHPS, NWS",,,
20160728_12Z,PAGY,24,574.65,318.58,0.61,187.445,<1,1,1,1,1,1,2,07/25/2016,Moderate flood; flooding,"Taiya river at its 24th highest crest; heavy rainfall, some hikers strnaded on river able to make to safety; significant flooding of chilkoot trail",PAGY,"AHPS, APRFC, NWS",Right before a PAGY AR event,,
,PAYA,,,,,,,NA,NA,NA,NA,NA,0,07/18/2016,Flood stage,Alsk was at its highest overflow,PAYA,AHPS,This is not in the AR database,,
20160226_12Z,PAKT,36,1126.07,394.31,7,180.4733333,1-2,1,1,1,1,2,0,02/26/2016,Action flooding,Lower Ketchikan Lake at 6th most overflow,PAKT,AHPS,The 26th had the 8th highest precip in Ketchikan,,
20160226_12Z,KTNA2,36,954.29,333.85,2.45,182.8933333,<1,,,,,,0,02/26/2016,Action flooding,Lower Ketchikan Lake at 6th most overflow,KTNA2,AHPS,,,
20150122_00Z,KTNA2,36,1488.33,574.65,4.22,198.64,<1,,,,,,2,01/22/2016,Flooding ,Flooding in Ketchikan,KTNA2,HYDRO,01/20/2015 - 01/22/2016,,
20151021_00Z,Thorne Bay/PAKW,24,959.8,517,0.25,201.08,1,1,1,1,1,1,0,10/21/2015,Action stage,Thorne River at 7th highest overflow,Thorne Bay/PAKW,AHPS,The 21st had the 6th highest precip in Klawock,,
20151021_12Z,PAKT,36,1300.23,610.47,5.75,210.9466667,1-2,1,1,1,2,2,0,10/21/2015,Action flooding,Thorne River at 7th most overflow,PAKT,AHPS,The 21st had the 11th highest precip in Ketchikan,,
,PAJN,,,,,,,1,1,1,1,1,2,09/30/2015,Flood stage,"Jordan creek at 5th highest crest, some event along north panhandle",PAJN,AHPS,Not in database but linked in time with event along north part of panhandle,,
Not an ar event (though affected other locations) but listed as a high IVT date,PAGY,,,,,,,1,1,1,1,1,2,09/30/2015,Moderate flood,Taiya at its 8th highest crest; significant flooding of chilkoot trail,PAGY,AHPS,Widespread,,
20150929_00Z,JNNA2,24,602.82,349.43,2.44,216.475,<1,,,,,,1,09/30/2015,Flood stage,Jordan creek at 5th highest crest,JNNA2,AHPS,29th had the 24th highest precip,2.44 on 29th,1
,PAYA,,,,,,,1,NA,1,2,1,0,09/29/2015,Action flooding,13th highest ovewrflow of situk,PAYA,AHPS,"This was not deemed AR event but had entry in highest IVT values as number 16 IVT: 645	Date: 20150930_00Z		Transport Dir:178",,
,PAJN,,,,,,,1,2,2,1,1,0,09/18/2015,Action stage,Jordan creek at 10th highest crest,PAJN,AHPS,"Not in database but linked with Gustavus Salmon river action event, in JNNA2 the 18th is the 18th highest precip event with 2.57 inches",,
Not ar event but listed in the database as high precip,JNNA2,,,,,,,,,,,,0,09/18/2015,Action stage,Jordan creek at 10th highest crest,JNNA2,AHPS,"The event is not in ar databse but the 18th is: precip: 2.57	date: 20150918_12Z	IVT: 244.98	Transport Dir.: 189.12",2.57 on 18th,1
,HOOA2,,,,,,,,,,,,0,09/18/2015,Nothing recorded in Hoonah,Nothing recorded in Hoonah,HOOA2,,"AR in Hoonah area, Juneau and Gustavus impacted",1.25 on the 18th,1
,PAGS,,,,,,,,,,,,0,09/17/2015,Action stage,Salmon River at 8th highst crest,PAGS,AHPS,,NA,
20150911_12Z,PAGY,48,1420.98,503.02,0.72,212.645,<1,1,1,1,1,1,2,09/10/2015,Moderate flood stage,"Heavy rains for 36 hours, moderate flooding of taiya, significant flooding of Chilkoot trail; Taiya at its 25th highest crest",PAGY,"AHPS, APRFC, NWS",,,
20150823_00Z,JNNA2,24,824.12,465.24,,168.12,,,,,,,1,08/21/2015,Flood stage,Mendenhall at its 23rd highest crest,JNNA2,AHPS,Triggered a GDL event; widespread ar; two ar's in a row,,
20150818_12Z,PAJN,24,997.38,609.46,0.43,254.71,<1,1,1,1,1,1,2,08/20/2015,Flood stage,"Mendenhall at its 23rd highest crest. Because of GDL event  possibly linked to large AR event that was happening along the panhandle, specifically in the North and coast",PAJN,AHPS,,,
20150818_12Z,JNNA2,24,995.65,604.27,1.41,256.605,<1,,,,,,1,08/20/2015,Flood stage,Mendenhall at its 23rd highest crest,JNNA2,AHPS,Triggered a GDL event; widespread ar; two ar's in a row,1.41 on the 18th,1
20150818_12Z,PASI,24,1099.58,672.47,0.57,262.5,<1,5,25,NA,NA,1,5,08/19/2015,Flood stage; flooding; mudslides,"Indian river at highest crest; flooding over sitka area, several landslides along outer coast, 3 fatalities in sitka, high rain rates for over 6 hours, strong winds, catastrophic debris flows across sitka, multiple roads blocked, homes damaged or destroyed, 3 fatalities in cramer ave slide, 1.7 million dollars of damage, state of emergency. South kramer Slide, 5.35’’ in slide, 7.1’’ in 72, 43 slides in the sitka area killed 3 people on Kramer street area, another slide on Sawmill creek road. ",PASI,"APRFC, NWS, HYDRO, MD",This is after an ar event on the 12th; bad ar event; 08/18/2015 - 08/19/2015,,
20150819_00Z,PAGY,36,1312.7,656.3,0.05,240.7866667,<1,1,1,1,1,1,2,08/18/2015,Moderate flood stage,"Flooding along Taiya and chilkoot trail, Taiya crested at 17.27 it's 28th highest crest",PAGY,"AHPS, APRFC, NWS",Widespread event,,
,PAGY,,,,,,,1,1,1,1,1,1,07/28/2015,Flood stage,Taiya at its 46th highest crest,PAGY,AHPS,Not in AR database,,
20150702_12Z,JNNA2,24,618.95,335.5,0.29,185.585,<1,,,,,,0,07/02/2015,Action stage,Taku at the 17th highest crest,JNNA2,AHPS,,0.29,1
20150122_00Z,PAKT,36,1638.13,627.78,9.93,195.5166667,2-5,1,1,1,1,2,2,01/22/2015,Flooding ,Flooding in Ketchikan,PAKT,HYDRO,& The 21st had 5th highest precip in Ketchikan; 01/20/2015 - 01/22/2015,,
20150122_00Z,PAJN,36,1231.73,420.36,3.16,196.0266667,2,1,1,1,1,2,2,01/21/2015,Mudslides and flooding ,Mudslides and flooding in juneau along Auke lake and jordan creek,PAJN,HYDRO,,,
20150122_00Z,JNNA2,36,1334.61,477.32,3.61,195.7966667,1-2,,,,,,2,01/21/2015,Mudslides,Mudslides in Juneau,JNNA2,HYDRO,widespread event,2.36 on the 21st,1
20150122_00Z,PAGY,36,983.83,381.13,2.39,193.23,1-2,1,1,1,1,1,2,01/21/2015,Mudslides,"Mudslides at haines, rockslide in dyea",PAGY,HYDRO,widespread event,,
,HCSA2,,,,,,,,,,,,2,01/21/2015,Mudslides,"Mudslides at haines, rockslide in dyea",HCSA2,HYDRO,widespread event,NA,
20150122_00Z,AHNA2,36,983.83,381.13,4.9,193.23,,,,,,,2,01/21/2015,Mudslides,"Mudslides at haines, rockslide in dyea",AHNA2,HYDRO,The 21st and 22nd had the 17th and 14th highest precip amounts in Haines downtown,,
20150122_00Z,PAHN,36,895.08,336.35,4.05,192.4833333,5,1,1,1,1,1,2,01/21/2015,Mudslides,Mudslides in Haines; rockslides in dyea,PAHN,"AHPS, HYDRO",THe 21st and 22nd are the 19th and 22nd hgihest precip days in Haines,,
20150122_00Z,Thorne Bay/PAKW,36,1329.46,476.83,3.77,201.9833333,2-5,1,1,1,NA,1,1,01/21/2015,Flood stage,Thorne River at 3rd highest overflow,Thorne Bay/PAKW,AHPS,The 21st had the 29th highest precip in Klawock,,
Not in ar database as ar but date listed as high precipiation day,PAGY,,,,,,,1,1,1,1,1,2,09/22/2014,"Moderate flood stage, flooding",TAiya at its 34th highest crest; Skagway airport received record for that day with 1.14 inches moderate/significant flooding of chilkoot trail,PAGY,"AHPS, APRFC, NWS",,,
20140907_00Z,PASI,60,1781.18,469.33,0.62,251.448,<1,2,5,5,5,1,1,09/07/2014,Flood stage,Indian river at 6th highest crest,PASI,AHPS,7th had the 24th highest precip amount,,
20140906_12Z,PAGY,36,1171.5,466.12,0.17,238.8566667,<1,1,1,1,1,1,1,09/06/2014,Flood stage,Taiya at its 35th highest crest,PAGY,AHPS,,,
20140818_00Z,PAGY,24,762.5,486.67,,202.145,,1,1,1,1,1,2,08/18/2014,Moderate flood stage,Taiya at its 33rd highest crest,PAGY,AHPS,,,
20140815_12Z,PAJN,48,1587.73,437.76,1.18,198.66,<1,1,1,1,1,1,0,08/18/2014,Action stage,Jordan creek at 12th highest crest,PAJN,AHPS,,,
20140815_12Z,JNNA2,48,1518.34,432.85,1.98,200.55,<1,,,,,,0,08/18/2014,Action stage,Jordan Creek at 12th highest crest,JNNA2,AHPS,,3.04A (3) on the 18th,2
20140818_00Z,PAGY,24,762.5,486.67,,202.145,,1,1,1,1,1,1,08/16/2014,Flood stage,Taiya at its 37th highest crest; flooding along chilkoot trail on the 17th,PAGY,AHPS,,,
20140812_00Z,JNNA2,36,1356.49,472.12,1.92,184.88,<1,,,,,,3,08/13/2014,Moderate flood stage,"Mendenhall at 9th highest crest; moderate GDL event that flooded cmapground with 2ft of water; hikers were rescued on west glacier trail due to van getting stuck on flooded road, significant flooding along mendenhall river, one house fot 23 inches of water ingarage",JNNA2,"AHPS, APRFC, NWS",,1.51 on the 11,1
20140812_00Z,PAJN,36,1392.71,517.47,1.48,183.4966667,<1,1,1,1,1,1,3,08/12/2014,"Moderate flood stage, flooding","possibly AR caused GDL event flooded campground with 2f t of water , lots of precipitation and snowmelt, burst of heavy rain, there ended up being a second release of glacier dam release of suicide basin, medenhall lake and river crested at 88 feet on lake 12.8 ft on riverfew hikers were rescued on west glacier trail due to van getting stuck on flooded road, significant flooding along mendenhall river, one house got 23 inches of water in garage . 9th highest crest of Mendenhall",PAJN,"APRFC, AHPS, NWS",,,
20140812_00Z,PAGY,36,1171.96,480.94,1.45,182.5033333,<1,1,1,1,NA,1,2,08/12/2014,Moderate flood stage,Taiya at 9th highest crest,PAGY,AHPS,Followed by another AR event,,
20140810_00Z,PAJN,24,734.43,469.29,1.44,164.705,<1,1,1,1,1,1,0,08/10/2014,Action stage,Montana creek at its 25th highest crest,PAJN,AHPS,,,
20140713_00Z,PAJN,48,1771.74,573.57,1.33,187.91,<1,1,1,1,1,1,3,07/14/2014,Flood stage,"Mendenhall at its 18th largest crest, significant damage laong chilkoot trail, south klondike hwy closed due to rock slides/landslides",PAJN,"AHPS, NWS",,,
20140713_00Z,PAGY,48,1656.32,528.72,0.22,191.0025,<1,1,1,1,1,1,3,07/14/2014,Moderate flood stage; flooding; erosion,Taiya at 22nd highest crest; South klondike hwy closed due to rock slides/landslides,PAGY,"APRFC, NWS",Snowmelt as well,,
20140713_00Z,JNNA2,36,1498.52,577.46,,187.1,,,,,,,2,07/14/2014,Flood stage,MEndenhall at 18th highest crest; Taku GDL of noname lake on the 16th creating the 5th highest crest on the river,JNNA2,AHPS,"steady rainfall in skagway area, also GDL of Taku on the 16th may or may not be related but caused the 5th highest crest on that river",,
,AHNA2,,,,,,,,,,,,2,07/06/2014,Action stage; flooding; moderate flood stage,"Chilkat river at 5th highest crest; Skagway at 2nd highest crest; taiya rose at 17.5 feet to 19th highest crest (moderate flood stage); significant flooding of chilkoot trail, swift water after heavy rainflow in skagway area",AHNA2,NWS,,,
,PAGY,,,,,,,1,1,1,1,1,3,07/05/2014,Action stage; flooding; moderate flood stage,"Chilkat river at 5th highest crest; Skagway at 2nd highest crest; taiya rose at 17.5 feet to 19th highest crest (moderate flood stage); significant flooding of chilkoot trail, swift water after heavy rainflow in skagway area",PAGY,NWS,"Not in AR database but sounds like AR event; 07/05/2014, 07/04/2014",,
,HCSA2,,,,,,,,,,,,3,07/05/2014,Action stage; flooding; moderate flood stage,"Chilkat river at 5th highest crest; Skagway at 2nd highest crest; taiya rose at 17.5 feet to 19th highest crest (moderate flood stage); significant flooding of chilkoot trail, swift water after heavy rainflow in skagway area",HCSA2,NWS,,NA,
,PAHN,,,,,,,1,1,1,1,1,0,07/05/2014,Action stage,Chilkat at 5th highest crest,PAHN,AHPS,,,
,PAKT,,,,,,,,,,,,3,03/12/2014,"Street flooding, Major flooding of Thorne River, flood stage of Staney creek.","Flooding of the Thorne River on POW, flooding of roads some places nearly car deep. Thorne river at 2nd most overflow. Staney creek at 3rd most overflow",PAKT,"AHPS, HYDRO",NO ASOS AR DATA for 03/12/2014 event except that that day had the16th highest precip at 5.12,,
,PAKW,,,,,,,1,1,1,1,1,2,03/11/2014,Flooding/flood stage,"Thorne River at 2nd highest overflow, Staney creek at 3rd highest overflow",PAKW,"HYDROP, AHPS",THis does not appear in the database for ArR events but seems like a large rain event all across POW,,
20140124_00Z,PAYA,24,1199,770,,196,,1,NA,1,1,1,0,01/23/2014,"Heavy damage, flood stage, landslides","17k in damage in Yakutat, minor to moderate flooding reported across yakutat, runoff into streams and drainage ditches, flooding of campground, trail and boat launch near nine mile bridge, forest highway 10 flooded in some areas  washed out in others, flooding on lower portions of the situk river, road going to cannon beach was flooded with foot of water, road going to tawa also flooded, 2nd highest overflow on situk",PAYA,"NWS, AHPS",This was the 4th highest IVT event in Yakutat,,
,PAKW,,,,,,,1,1,2,NA,1,4,01/14/2014,Mudslides,"Mudlisdes in Klawock after 5.81'' of rain in 24 hours and 8.19 in 72, mudslides were widespread and on timber-affected land. IN total it was 22 mudslides",PAKW,MD,This does not appear in the database for AR events,,
,PASI,,,,,,,1,2,5,10,10,4,01/14/2014,Mudslide; flood stage; flooding,"2.57'' in 72 hours, home damaged and knocked off foundation from mudslide; Heavy rains over 13 and 14 AR event wind and rain from almost 35 straight days of rain, 37 days of rain for a total of 22.9 inches over sitka area, broke records of 3.56 in one heavy rain day on 14, mudslide on cascade creek road, damaged apartment building with water and mud in the building, parking lots flooded, indian river was flowing out of its banks, flooding indian river road destroying the trail, 300k in damage; Indian river at its 12th highest crest",PASI,"MD APRFC, NWS, AHPS",not in ar database but clearly ar event,,
,PAKT,,,,,,,1,1,1,1,1,2,01/14/2014,Mudslides,"Blocked/damaged power lines and roads from mudslides, 8k of damage in Ketchikan",PAKT,"NWS, MD",?,,
,KTNA2,24,,,0.65,,<1,,,,,,2,01/14/2014,Mudslides,"Blocked/damaged power lines and roads from mudslides, 8k of damage in Ketchikan",KTNA2,"NWS, MD",,,
20131215_00Z,PAKT,36,1367.45,518.14,5.31,209.6466667,<1,1,1,1,1,1,2,12/14/2013,"flood stage of lower ketchikan lake. Runoff into hydroelectric dams rose water level above spillway, minor to flood stage, fourteen foot rise at upper silvis lake and over five feet at swan lake, 1k in damage",,PAKT,"APRFC, AHPS, NWS",The 12th had the 23rd highest precip value in Ketchikan,,
20131215_00Z,KTNA2,36,1285.21,497.15,2.15,209.5833333,<1,,,,,,2,12/14/2013,"flood stage of lower ketchikan lake. Runoff into hydroelectric dams rose water level above spillway, minor to flood stage, fourteen foot rise at upper silvis lake and over five feet at swan lake, 1k in damage",,KTNA2,"APRFC, AHPS, NWS",,1.85,1
,Thorne Bay,,,,,,,1,1,1,1,1,0,12/11/2013,Action stage,Thorne river was at its 10th highest overflow,Thorne Bay,AHPS,This one does not appear in the databse but there is a 36 hour event 4 days later in Klawock,,
20131122_00Z,PASI,24,577.41,315.27,2.89,248.015,<1,1,1,1,1,1,1,11/21/2013,Flood stage,Indian river at 5th highest crest,PASI,AHPS,,,
20130912_00Z,PAGY,24,690.87,357.09,0.3,196.04,<1,1,1,1,NA,1,2,09/11/2013,Moderate flood stage,Taiya at moderate flood stage,PAGY,NWS,,,
20130908_12Z,PAGY,36,1500.58,569.07,0.55,193.73,<1,NA,NA,NA,NA,NA,3,09/09/2013,Moderate flood stage; action stage; flooding,"Taiya at its 3rd highest crest; Skagway at its 4th highest crest; flooding of taiya in dyea, flooding of lots and yards, significant flooding of Chillkoot trail and in town of dyea, water sorrounded campgrounds and homes and got into crawl space of one home; grown already wet from previous ar event",PAGY,AHPS; NWS; APRFC; HYDRO,Two consecutive AR events,,
20130908_12Z,JNNA2,36,1385.69,542.38,,192.4766667,,,,,,,0,09/09/2013,Action stage,Mendenhall at its 41st highest crest,JNNA2,AHPS,widespread AR,0.8 on the 5th otherwise NA,1
20130905_00Z,PAGY,36,1136.67,465.31,0.11,209.9533333,<1,1,1,1,1,1,3,09/08/2013,Moderate flood stage; action stage; flooding,"Taiya at its 3rd highest crest; Skagway at its 4th highest crest; flooding of taiya in dyea, flooding of lots and yards, significant flooding of Chillkoot trail and in town of dyea, water sorrounded campgrounds and homes and got into crawl space of one home; grown already wet from previous ar event",PAGY,AHPS; NWS; APRFC; HYDRO,Two consecutive AR events,,
20130908_12Z,PAJN,36,1389.55,580.28,1.14,194.6566667,<1,1,1,1,NA,1,0,09/08/2013,action stage,Mendenhall at its 41st highest crest,PAJN,AHPS,widespread event,,
20130905_12Z,JNNA2,36,1120.46,454.92,1.65,217.9833333,<1,,,,,,0,09/08/2013,Action stage,Mendenhall at its 41st highest crest,JNNA2,AHPS,widespread AR,0.8 on the 5th,1
20130908_12Z,PAYA,36,1688,825,,171,,1,1,1,1,1,0,09/08/2013,"flood stage, action stage","Situk was at its 8th highest overflow (flood stage), Alsek was at its 6th highest overflow (action stage)",PAYA,AHPS,THe 8th was the highest IVT value of all AR events in Yakutat,,
,PAGY,,,,,,,NA,NA,NA,NA,NA,1,08/30/2013,Flood stage,Taiya at its 41st highest crest,PAGY,AHPs,,,
,PAJN,,,,,,,NA,NA,NA,NA,NA,2,07/07/2013,"Mudslide, flood stage","8.1026’’ in 24 hours, small mudslide along 2000block of glacier highway (lat58.317716/lon-134.450031) from sat imagery there might be indication of initiation point. Montana creek reached its 2nd highest crest on 07/09",PAJN,"MD, AHPS",Not included in database,,
